project_id,package_id,scope,dataset_id,version,project_num,title,shortname,search_column_1
210122,knb-lter-jrn.210122001.87,knb-lter-jrn,210122001,87,122,Crust Evolution at Scrape Site,CRUSTEVO,Study 122 - CRUSTEVO
210126,knb-lter-jrn.210126003.100,knb-lter-jrn,210126003,100,126,Jornada LTER Weather Station,LTERWS,Study 126 - LTERWS
210126,knb-lter-jrn.210126001.119,knb-lter-jrn,210126001,119,126,Jornada LTER Weather Station,LTERWS,Study 126 - LTERWS
210127,knb-lter-jrn.210127001.111,knb-lter-jrn,210127001,111,127,Jornada LTER evaporation pan data,NA,Study 127
210128,knb-lter-jrn.210128002.3,knb-lter-jrn,210128002,3,128,Wetfall and Dryfall deposition chemistry data,NA,Study 128
210128,knb-lter-jrn.210128001.3,knb-lter-jrn,210128001,3,128,Wetfall and Dryfall deposition chemistry data,NA,Study 128
210228,knb-lter-jrn.210228001.54,knb-lter-jrn,210228001,54,228,Nutrient and Ecosystem impacts of Aeolian Transport (NEAT),NEAT,Study 228 - NEAT
210228,knb-lter-jrn.210228002.1,knb-lter-jrn,210228002,1,228,Nutrient and Ecosystem impacts of Aeolian Transport (NEAT),NEAT,Study 228 - NEAT
210262,knb-lter-jrn.210262004.93,knb-lter-jrn,210262004,93,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones",Ecotone,Study 262 - Ecotone
210262,knb-lter-jrn.210262008.139,knb-lter-jrn,210262008,139,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones",Ecotone,Study 262 - Ecotone
210262,knb-lter-jrn.210262005.9,knb-lter-jrn,210262005,9,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones",Ecotone,Study 262 - Ecotone
210262,knb-lter-jrn.210262001.8,knb-lter-jrn,210262001,8,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones",Ecotone,Study 262 - Ecotone
210262,knb-lter-jrn.210262010.88,knb-lter-jrn,210262010,88,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones",Ecotone,Study 262 - Ecotone
210278,knb-lter-jrn.210278002.91,knb-lter-jrn,210278002,91,278,Responses of aboveground primary production to changes in water availability: understanding the meristem density limitation,PPT shelters - Sala-Reichman,Study 278 - PPT shelters - Sala-Reichman
210278,knb-lter-jrn.210278001.58,knb-lter-jrn,210278001,58,278,Responses of aboveground primary production to changes in water availability: understanding the meristem density limitation,PPT shelters - Sala-Reichman,Study 278 - PPT shelters - Sala-Reichman
210287,knb-lter-jrn.210287001.83,knb-lter-jrn,210287001,83,287,Perennial Plant Phenology on NPP Sites,NPPPHEN,Study 287 - NPPPHEN
210288,knb-lter-jrn.210288001.102,knb-lter-jrn,210288001,102,288,"BSNE dust collection at NPP, JER Pasture 13, Geomet sites",SANDFLUX,Study 288 - SANDFLUX
210301,knb-lter-jrn.210301002.78,knb-lter-jrn,210301002,78,301,The effect of wind as a driver of decomposition in arid systems.,Aggregate Mesquite Litter,Study 301 - Aggregate Mesquite Litter
210301,knb-lter-jrn.210301001.57,knb-lter-jrn,210301001,57,301,The effect of wind as a driver of decomposition in arid systems.,Aggregate Mesquite Litter,Study 301 - Aggregate Mesquite Litter
210308,knb-lter-jrn.210308002.58,knb-lter-jrn,210308002,58,308,NA,Conmod Pilot,Study 308 - Conmod Pilot
210308,knb-lter-jrn.210308001.60,knb-lter-jrn,210308001,60,308,NA,Conmod Pilot,Study 308 - Conmod Pilot
210308,knb-lter-jrn.210308004.12,knb-lter-jrn,210308004,12,308,NA,Conmod Pilot,Study 308 - Conmod Pilot
210308,knb-lter-jrn.210308005.10,knb-lter-jrn,210308005,10,308,NA,Conmod Pilot,Study 308 - Conmod Pilot
210308,knb-lter-jrn.210308003.2,knb-lter-jrn,210308003,2,308,NA,Conmod Pilot,Study 308 - Conmod Pilot
210313,knb-lter-jrn.210313001.1,knb-lter-jrn,210313001,1,313,Tromble Weir: hydrology dynamics of a small watershed,Hydrology - Tromble Weir,Study 313 - Hydrology - Tromble Weir
210327,knb-lter-jrn.210327001.1,knb-lter-jrn,210327001,1,327,"Greenfall decomposition of grass, yucca, Sporobolus, and LATR",NA,Study 327
210328,knb-lter-jrn.210328001.4,knb-lter-jrn,210328001,4,328,Effect of long term manipulation of precipitation amount on ecosystem function,NA,Study 328
210328,knb-lter-jrn.210328002.2,knb-lter-jrn,210328002,2,328,Effect of long term manipulation of precipitation amount on ecosystem function,NA,Study 328
210328,knb-lter-jrn.210328003.5,knb-lter-jrn,210328003,5,328,Effect of long term manipulation of precipitation amount on ecosystem function,NA,Study 328
210338,knb-lter-jrn.210338002.22,knb-lter-jrn,210338002,22,338,Watershed Characterization and Intensive Monitoring Study,NA,Study 338
210338,knb-lter-jrn.210338006.2,knb-lter-jrn,210338006,2,338,Watershed Characterization and Intensive Monitoring Study,NA,Study 338
210338,knb-lter-jrn.210338005.2,knb-lter-jrn,210338005,2,338,Watershed Characterization and Intensive Monitoring Study,NA,Study 338
210338,knb-lter-jrn.210338004.19,knb-lter-jrn,210338004,19,338,Watershed Characterization and Intensive Monitoring Study,NA,Study 338
210351,knb-lter-jrn.210351003.3,knb-lter-jrn,210351003,3,351,USDA Permanent Quadrats,USDA Permanent Quadrats,Study 351 - USDA Permanent Quadrats
210351,knb-lter-jrn.210351004.2,knb-lter-jrn,210351004,2,351,USDA Permanent Quadrats,USDA Permanent Quadrats,Study 351 - USDA Permanent Quadrats
