id,project_id,packageid,scope,datasetid,version,resnotif_id,project_title
knb-lter-jrn.210128002,210128,knb-lter-jrn.210128002.3,knb-lter-jrn,210128002,3,128,Wetfall and Dryfall deposition chemistry data
knb-lter-jrn.210128001,210128,knb-lter-jrn.210128001.3,knb-lter-jrn,210128001,3,128,Wetfall and Dryfall deposition chemistry data
knb-lter-jrn.210228001,210228,knb-lter-jrn.210228001.54,knb-lter-jrn,210228001,54,228,Nutrient and Ecosystem impacts of Aeolian Transport (NEAT)
knb-lter-jrn.210228002,210228,knb-lter-jrn.210228002.1,knb-lter-jrn,210228002,1,228,Nutrient and Ecosystem impacts of Aeolian Transport (NEAT)
knb-lter-jrn.210262004,210262,knb-lter-jrn.210262004.93,knb-lter-jrn,210262004,93,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones"
knb-lter-jrn.210262008,210262,knb-lter-jrn.210262008.139,knb-lter-jrn,210262008,139,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones"
knb-lter-jrn.210262010,210262,knb-lter-jrn.210262010.88,knb-lter-jrn,210262010,88,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones"
knb-lter-jrn.210262001,210262,knb-lter-jrn.210262001.8,knb-lter-jrn,210262001,8,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones"
knb-lter-jrn.210262005,210262,knb-lter-jrn.210262005.9,knb-lter-jrn,210262005,9,262,"[Ecotone small mammal study] Demography, Resource use and Genetic Structure of a Small Mammal Population in the Chihuahuan Desert: Feedbacks Between Rodents and the Dynamics of Grassland-Shrubland Ecotones"
knb-lter-jrn.210278001,210278,knb-lter-jrn.210278001.58,knb-lter-jrn,210278001,58,278,Responses of aboveground primary production to changes in water availability: understanding the meristem density limitation
knb-lter-jrn.210278002,210278,knb-lter-jrn.210278002.91,knb-lter-jrn,210278002,91,278,Responses of aboveground primary production to changes in water availability: understanding the meristem density limitation
knb-lter-jrn.210287001,210287,knb-lter-jrn.210287001.83,knb-lter-jrn,210287001,83,287,Perennial Plant Phenology on NPP Sites
knb-lter-jrn.210288001,210288,knb-lter-jrn.210288001.102,knb-lter-jrn,210288001,102,288,"BSNE dust collection at NPP, JER Pasture 13, Geomet sites"
knb-lter-jrn.210301001,210301,knb-lter-jrn.210301001.57,knb-lter-jrn,210301001,57,301,The effect of wind as a driver of decomposition in arid systems.
knb-lter-jrn.210301002,210301,knb-lter-jrn.210301002.78,knb-lter-jrn,210301002,78,301,The effect of wind as a driver of decomposition in arid systems.
knb-lter-jrn.210308003,210308,knb-lter-jrn.210308003.2,knb-lter-jrn,210308003,2,308,NA
knb-lter-jrn.210308004,210308,knb-lter-jrn.210308004.12,knb-lter-jrn,210308004,12,308,NA
knb-lter-jrn.210308001,210308,knb-lter-jrn.210308001.60,knb-lter-jrn,210308001,60,308,NA
knb-lter-jrn.210308005,210308,knb-lter-jrn.210308005.10,knb-lter-jrn,210308005,10,308,NA
knb-lter-jrn.210308002,210308,knb-lter-jrn.210308002.58,knb-lter-jrn,210308002,58,308,NA
knb-lter-jrn.210313001,210313,knb-lter-jrn.210313001.1,knb-lter-jrn,210313001,1,313,Tromble Weir: hydrology dynamics of a small watershed
knb-lter-jrn.210327001,210327,knb-lter-jrn.210327001.1,knb-lter-jrn,210327001,1,327,"Greenfall decomposition of grass, yucca, Sporobolus, and LATR"
knb-lter-jrn.210328003,210328,knb-lter-jrn.210328003.5,knb-lter-jrn,210328003,5,328,Effect of long term manipulation of precipitation amount on ecosystem function
knb-lter-jrn.210328002,210328,knb-lter-jrn.210328002.2,knb-lter-jrn,210328002,2,328,Effect of long term manipulation of precipitation amount on ecosystem function
knb-lter-jrn.210328001,210328,knb-lter-jrn.210328001.4,knb-lter-jrn,210328001,4,328,Effect of long term manipulation of precipitation amount on ecosystem function
knb-lter-jrn.210338005,210338,knb-lter-jrn.210338005.2,knb-lter-jrn,210338005,2,338,Watershed Characterization and Intensive Monitoring Study
knb-lter-jrn.210338006,210338,knb-lter-jrn.210338006.2,knb-lter-jrn,210338006,2,338,Watershed Characterization and Intensive Monitoring Study
knb-lter-jrn.210338002,210338,knb-lter-jrn.210338002.22,knb-lter-jrn,210338002,22,338,Watershed Characterization and Intensive Monitoring Study
knb-lter-jrn.210338004,210338,knb-lter-jrn.210338004.19,knb-lter-jrn,210338004,19,338,Watershed Characterization and Intensive Monitoring Study
knb-lter-jrn.210351004,210351,knb-lter-jrn.210351004.2,knb-lter-jrn,210351004,2,351,USDA Permanent Quadrats
knb-lter-jrn.210351001,210351,knb-lter-jrn.210351001.49,knb-lter-jrn,210351001,49,351,USDA Permanent Quadrats
knb-lter-jrn.210351002,210351,knb-lter-jrn.210351002.77,knb-lter-jrn,210351002,77,351,USDA Permanent Quadrats
knb-lter-jrn.210351003,210351,knb-lter-jrn.210351003.3,knb-lter-jrn,210351003,3,351,USDA Permanent Quadrats
knb-lter-jrn.210365001,210365,knb-lter-jrn.210365001.62,knb-lter-jrn,210365001,62,365,USDA Soil Movement Transect - 1500 feet running ENE
knb-lter-jrn.210368004,210368,knb-lter-jrn.210368004.33,knb-lter-jrn,210368004,33,368,Variability in soils and vegetation associated with harvester ant (Pogonomyrmex rugosus) nests on a Chihuahuan Desert watershed
